transaction_id,transaction_date,product_id,customer_id,region_id,quantity,revenue,cost
T00038,2024-11-30,P01,C04,R03,2,522,416
T00039,2023-07-09,P01,C09,R04,3,750,489
T00040,2024-11-17,P02,C04,R04,1,238,162
T00041,2024-07-16,P05,C010,R04,2,210,158
T00042,2024-07-20,P01,C010,R01,3,873,615
T00043,2023-09-01,P05,C08,R04,1,97,64
T00044,2024-05-19,P04,C05,R01,4,1596,1000
T00045,2023-05-11,P05,C010,R03,5,455,285
T00046,2024-04-29,P03,C01,R01,3,1035,657
T00047,2024-10-08,P03,C07,R03,1,341,236
T00048,2023-01-21,P05,C03,R03,2,218,172
T00049,2023-06-16,P03,C010,R04,1,216,131
T00050,2023-10-01,P04,C08,R04,2,526,334
T00051,2024-01-23,P02,C03,R01,5,1210,755
T00052,2024-08-23,P03,C01,R02,5,1655,1185
T00053,2023-11-12,P03,C05,R04,1,318,226
T00054,2023-01-14,P05,C02,R04,1,94,68
T00055,2023-08-30,P04,C04,R02,2,726,452
T00056,2023-12-12,P02,C01,R02,2,428,290
T00057,2024-07-18,P05,C09,R04,3,267,165
T00058,2023-12-06,P05,C06,R02,3,276,177
T00059,2023-04-02,P04,C08,R01,3,966,630
T00060,2024-01-02,P02,C04,R03,1,208,142
T00061,2024-03-30,P04,C09,R03,3,891,564
T00062,2024-03-03,P02,C02,R04,1,179,125
T00063,2024-05-23,P04,C09,R04,5,1805,1220
T00064,2023-02-04,P05,C05,R01,4,420,292
T00065,2023-07-25,P05,C06,R02,5,355,260
T00066,2023-03-22,P01,C03,R04,1,295,197
T00067,2024-07-15,P03,C04,R03,1,339,207
T00068,2024-01-23,P04,C06,R01,4,1496,1160
T00069,2023-01-02,P01,C07,R01,2,478,350
T00070,2024-01-25,P03,C01,R02,2,552,428
T00071,2024-07-19,P04,C07,R04,2,620,412
T00072,2023-04-16,P02,C01,R04,3,663,441
T00073,2024-04-21,P03,C05,R01,2,640,388
T00074,2024-12-03,P05,C06,R03,3,336,207
T00075,2024-02-06,P01,C02,R04,3,633,402
T00076,2024-12-30,P03,C010,R03,2,574,424
T00077,2024-07-09,P03,C09,R01,2,550,350
T00078,2023-06-11,P05,C010,R04,4,392,300
T00079,2023-07-21,P04,C06,R03,4,1436,1060
T00080,2023-09-27,P02,C07,R01,3,489,366
T00081,2023-09-28,P05,C010,R03,4,448,336
T00082,2024-03-31,P02,C08,R04,3,549,369
T00083,2024-04-06,P04,C010,R02,1,387,305
T00084,2024-12-27,P03,C01,R03,3,1044,810
T00085,2023-09-09,P02,C08,R02,3,717,522
T00086,2024-12-02,P01,C04,R04,4,836,592
T00087,2023-10-23,P01,C010,R02,1,211,166
T00088,2024-12-25,P05,C08,R01,5,340,225
T00089,2024-12-20,P04,C06,R02,5,1445,1075
T00090,2023-12-04,P05,C09,R03,5,365,265
T00091,2023-02-22,P05,C04,R03,1,79,55
T00092,2023-08-05,P05,C02,R02,2,148,116
T00093,2023-07-07,P01,C02,R01,1,269,177
T00094,2024-01-15,P01,C05,R04,4,1112,740
T00095,2024-05-07,P05,C010,R02,3,312,216
T00096,2023-02-10,P01,C09,R03,3,855,603
T00097,2023-06-06,P04,C03,R03,4,1488,952
T00098,2023-01-15,P05,C08,R02,4,380,276
T00099,2023-03-06,P01,C04,R02,3,630,402
T00100,2024-06-04,P02,C06,R02,2,354,226
T00101,2023-12-10,P05,C010,R04,2,120,72
T00102,2023-05-09,P05,C06,R03,2,218,132
T00103,2024-10-09,P04,C03,R03,4,1228,872
T00104,2024-04-16,P03,C05,R03,3,984,762
T00105,2023-03-04,P03,C03,R04,3,915,678
T00106,2023-05-19,P04,C01,R01,3,1011,717
T00107,2024-05-13,P04,C07,R03,1,399,300
T00108,2024-08-15,P04,C04,R03,1,379,300
T00109,2024-01-27,P03,C07,R01,5,1545,985
T00110,2024-11-05,P04,C03,R04,1,320,246
T00111,2024-02-23,P01,C05,R01,2,484,308
T00112,2023-10-16,P05,C05,R01,2,134,86
T00113,2024-01-14,P05,C02,R01,2,190,128
T00114,2024-05-04,P02,C010,R01,2,398,312
T00115,2023-08-19,P02,C02,R04,5,1105,880
T00116,2023-02-10,P05,C04,R04,2,138,98
T00117,2023-01-28,P01,C04,R01,4,1008,720
T00118,2023-05-15,P03,C04,R02,4,1072,784
T00119,2023-07-20,P03,C06,R02,4,1044,676
T00120,2023-02-02,P01,C02,R02,1,254,166
T00121,2023-02-17,P03,C06,R02,3,783,567
T00122,2024-05-17,P04,C07,R03,5,1470,1040
T00123,2024-02-11,P05,C010,R04,4,352,252
T00124,2024-07-27,P05,C03,R04,4,332,208
T00125,2024-12-28,P01,C08,R01,2,582,356
T00126,2023-04-09,P03,C02,R03,4,1188,900
T00127,2024-11-14,P02,C08,R01,2,308,222
T00128,2024-12-26,P02,C05,R01,2,394,262
T00129,2024-06-30,P03,C02,R04,3,645,465
T00130,2024-09-04,P02,C07,R03,1,221,170
T00131,2024-04-06,P01,C02,R02,2,450,282
T00132,2024-10-04,P01,C06,R04,2,404,316
T00133,2023-01-05,P03,C010,R03,3,879,624
T00134,2023-08-06,P02,C03,R03,2,366,228
T00135,2024-05-17,P01,C09,R04,5,1040,740
T00136,2024-02-02,P01,C03,R04,1,236,167
T00137,2024-01-28,P04,C03,R01,5,1795,1360
T00138,2023-07-26,P04,C05,R01,4,1380,1072
T00139,2023-01-15,P01,C07,R01,1,197,122
T00140,2024-07-07,P03,C08,R02,4,1124,872
T00141,2024-04-05,P05,C07,R04,2,208,152
T00142,2024-11-21,P05,C09,R03,3,207,141
T00143,2024-07-28,P01,C05,R04,5,1115,855
T00144,2023-08-29,P01,C010,R03,4,1160,800
T00145,2024-07-17,P01,C03,R02,2,468,368
T00146,2023-04-06,P03,C06,R04,5,1315,1045
T00147,2024-04-29,P04,C05,R03,5,1500,1020
T00148,2024-02-11,P01,C04,R03,4,940,660
T00149,2023-08-19,P01,C02,R01,2,446,294
T00150,2024-10-16,P02,C07,R02,3,651,489
T00151,2023-06-20,P03,C05,R04,4,1300,992
T00152,2024-06-24,P01,C04,R01,5,1345,1000
T00153,2023-02-05,P02,C08,R02,5,860,560
T00154,2024-06-08,P05,C09,R01,1,76,59
T00155,2023-06-09,P01,C09,R04,2,466,332
T00156,2024-11-29,P01,C03,R03,1,201,157
T00157,2023-08-31,P02,C03,R04,3,564,393
T00158,2023-03-27,P03,C05,R02,4,1108,880
T00159,2024-07-31,P01,C05,R04,5,1440,1000
T00160,2024-11-12,P05,C010,R02,2,222,170
T00161,2024-07-10,P01,C02,R01,5,965,760
T00162,2024-07-27,P05,C01,R02,1,66,48
T00163,2024-10-07,P04,C08,R03,1,295,225
T00164,2023-01-28,P04,C03,R03,4,1004,604
T00165,2024-09-11,P05,C01,R03,2,236,184
T00166,2024-07-09,P03,C01,R01,2,552,430
T00167,2023-12-06,P01,C02,R02,4,1176,852
T00168,2023-11-27,P01,C06,R01,1,284,203
T00169,2024-10-01,P04,C06,R04,1,284,192
T00170,2024-05-20,P05,C03,R04,1,71,53
T00171,2023-12-14,P01,C04,R04,5,945,665
T00172,2024-04-17,P01,C02,R04,3,666,522
T00173,2023-08-19,P03,C02,R03,1,258,178
T00174,2023-07-09,P02,C07,R02,3,627,453
T00175,2023-08-13,P04,C01,R03,3,816,519
T00176,2024-01-20,P04,C07,R02,2,540,354
T00177,2024-01-12,P02,C01,R02,4,624,420
T00178,2023-10-10,P01,C06,R01,5,1185,880
T00179,2024-09-24,P03,C03,R04,3,960,612
T00180,2024-09-19,P03,C08,R02,5,1570,1235
T00181,2023-09-16,P04,C06,R04,2,790,510
T00182,2023-12-25,P03,C02,R04,1,337,243
T00183,2024-12-10,P02,C08,R04,3,735,537
T00184,2024-03-31,P01,C05,R03,4,780,572
T00185,2024-02-15,P02,C08,R04,2,326,202
T00186,2024-10-10,P05,C08,R02,5,410,265
T00187,2023-11-14,P04,C06,R03,1,353,239
T00188,2024-11-07,P03,C02,R04,5,1215,835
T00189,2023-08-13,P05,C08,R01,4,300,224
T00190,2023-08-22,P03,C06,R04,3,801,534
T00191,2024-11-14,P01,C06,R04,4,956,728
T00192,2024-10-25,P01,C08,R03,5,1160,760
T00193,2024-01-09,P01,C01,R02,5,1075,690
T00194,2024-11-02,P03,C02,R04,4,1020,708
T00195,2024-08-30,P05,C09,R03,4,324,232
T00196,2024-04-16,P01,C08,R03,4,992,780
T00197,2023-08-21,P05,C07,R02,1,93,65
T00198,2024-11-22,P03,C07,R03,5,1590,1035
T00199,2023-04-23,P05,C05,R02,2,190,140
T00200,2024-05-11,P03,C02,R01,1,274,215
T00201,2024-03-17,P03,C06,R04,1,202,130
T00202,2024-07-17,P04,C010,R03,1,266,194
T00203,2023-09-25,P03,C03,R01,2,412,294
T00204,2024-05-24,P03,C04,R03,4,1012,784
T00205,2024-01-21,P02,C010,R03,5,825,655
T00206,2024-01-22,P01,C02,R01,3,714,483
T00207,2023-04-23,P04,C02,R03,3,1110,828
T00208,2024-09-04,P04,C08,R03,5,1495,1000
T00209,2024-09-16,P04,C08,R01,2,542,378
T00210,2023-03-22,P02,C010,R03,3,462,321
T00211,2024-11-29,P03,C06,R02,1,277,189
T00212,2023-04-23,P01,C05,R03,3,813,624
T00213,2023-01-02,P05,C08,R04,5,470,315
T00214,2024-10-03,P03,C04,R03,1,252,185
T00215,2023-08-08,P02,C04,R04,3,501,321
T00216,2024-07-19,P03,C05,R04,5,1240,845
T00217,2023-08-13,P03,C01,R03,2,436,328
T00218,2024-01-20,P02,C01,R01,5,1180,750
T00219,2024-02-07,P04,C02,R02,2,540,350
T00220,2024-09-29,P04,C08,R02,1,277,207
T00221,2023-05-10,P01,C07,R03,5,1060,675
T00222,2023-02-22,P01,C010,R01,4,832,500
T00223,2024-11-14,P04,C09,R01,4,1292,952
T00224,2024-12-30,P05,C05,R02,4,460,328
T00225,2024-11-02,P03,C02,R01,4,896,572
T00226,2024-12-10,P05,C07,R03,4,252,152
T00227,2024-02-20,P03,C08,R03,2,684,466
T00228,2023-09-04,P04,C07,R01,5,1640,1010
T00229,2024-03-14,P01,C07,R03,1,250,153
T00230,2023-07-22,P01,C05,R04,4,1112,712
T00231,2023-07-03,P05,C02,R02,4,364,268
T00232,2023-05-03,P01,C06,R03,1,192,118
T00233,2024-02-05,P04,C04,R01,1,345,212
T00234,2023-10-21,P05,C010,R02,4,300,196
T00235,2023-10-07,P03,C02,R03,2,434,310
T00236,2024-09-01,P01,C09,R02,1,203,138
T00237,2023-07-17,P02,C07,R01,5,1045,640
T00238,2024-05-25,P01,C06,R04,5,1325,815
T00239,2023-05-24,P03,C05,R04,2,484,352
T00240,2024-08-31,P05,C03,R03,3,279,183
T00241,2023-07-20,P03,C010,R04,2,618,402
T00242,2023-05-04,P02,C010,R03,4,912,600
T00243,2023-07-06,P04,C04,R02,3,1089,783
T00244,2023-11-22,P01,C03,R03,4,852,644
T00245,2024-04-08,P05,C08,R03,5,460,345
T00246,2023-12-15,P04,C03,R03,1,313,208
T00247,2024-10-21,P03,C07,R04,4,1228,916
T00248,2024-02-07,P05,C07,R03,5,530,375
T00249,2023-12-12,P04,C07,R01,2,768,542
T00250,2024-05-25,P05,C07,R03,4,292,208
T00251,2023-05-27,P02,C02,R02,5,1050,825
T00252,2023-05-28,P02,C010,R01,1,235,151
T00253,2024-12-11,P01,C03,R02,4,1036,732
T00254,2024-05-03,P01,C010,R02,5,1040,725
T00255,2024-10-01,P02,C09,R02,4,652,440
T00256,2024-07-04,P05,C03,R01,1,113,69
T00257,2023-12-04,P02,C02,R01,4,716,560
T00258,2024-10-02,P01,C09,R04,4,1116,856
T00259,2024-04-17,P02,C010,R01,5,1160,775
T00260,2023-05-31,P02,C09,R03,3,459,318
T00261,2024-02-19,P05,C04,R02,4,296,232
T00262,2023-10-25,P04,C09,R04,3,1083,723
T00263,2024-09-02,P01,C03,R01,2,594,460
T00264,2023-09-20,P05,C07,R02,4,368,224
T00265,2023-05-24,P02,C07,R01,3,654,450
T00266,2023-12-12,P02,C08,R04,2,452,308
T00267,2024-09-15,P04,C010,R01,5,1715,1080
T00268,2024-07-25,P01,C04,R01,4,1064,780
T00269,2023-01-02,P01,C03,R02,5,1320,1020
T00270,2023-10-31,P03,C03,R03,2,620,482
T00271,2023-09-11,P01,C05,R01,5,1310,995
T00272,2024-10-13,P04,C01,R04,5,1635,1060
T00273,2024-03-28,P03,C010,R01,1,339,255
T00274,2023-02-06,P03,C03,R01,2,428,336
T00275,2023-06-09,P02,C06,R03,5,945,635
T00276,2023-01-09,P02,C03,R02,3,654,456
T00277,2023-08-21,P01,C05,R04,2,492,326
T00278,2023-04-09,P03,C09,R02,1,321,231
T00279,2024-10-20,P02,C02,R02,4,856,664
T00280,2023-07-27,P04,C02,R02,5,1970,1260
T00281,2023-05-11,P02,C06,R01,3,639,426
T00282,2024-02-08,P02,C06,R03,1,177,125
T00283,2023-06-01,P03,C08,R01,2,680,522
T00284,2023-02-23,P03,C02,R04,5,1060,780
T00285,2023-04-30,P05,C09,R03,1,106,70
T00286,2024-11-03,P04,C02,R02,1,335,224
T00287,2024-09-19,P03,C01,R03,3,786,549
T00288,2024-08-09,P01,C010,R04,4,988,740
T00289,2024-09-16,P04,C02,R01,4,1300,824
T00290,2024-02-24,P04,C07,R01,4,1024,728
T00291,2024-02-26,P03,C08,R02,2,656,456
T00292,2023-04-14,P04,C05,R01,1,277,179
T00293,2023-09-11,P03,C06,R01,2,490,346
T00294,2023-08-15,P02,C01,R04,1,240,171
T00295,2023-04-22,P05,C06,R03,3,207,126
T00296,2024-05-24,P02,C08,R01,3,609,411
T00297,2024-04-17,P03,C03,R04,2,442,330
T00298,2023-04-09,P03,C01,R04,2,424,332
T00299,2023-06-02,P02,C04,R02,3,633,402
T00300,2023-12-04,P01,C01,R04,5,1285,910
T00301,2024-12-06,P01,C08,R02,4,1080,768
T00302,2023-06-12,P01,C05,R01,4,944,744
T00303,2024-12-20,P03,C01,R02,3,696,501
T00304,2024-11-11,P04,C08,R04,4,1492,912
T00305,2023-06-10,P03,C09,R03,5,1595,1225
T00306,2024-08-02,P04,C010,R03,5,1380,1055
T00307,2024-02-02,P02,C02,R01,1,172,134
T00308,2023-10-04,P05,C09,R01,2,210,136
T00309,2024-05-18,P04,C08,R03,4,1388,1044
T00310,2024-01-27,P01,C07,R02,5,925,655
T00311,2023-05-15,P03,C03,R01,2,482,352
T00312,2023-07-14,P02,C02,R04,2,362,232
T00313,2024-02-05,P01,C07,R01,1,248,180
T00314,2024-10-01,P02,C05,R02,2,420,308
T00315,2023-02-02,P05,C06,R01,2,172,134
T00316,2024-11-18,P03,C04,R04,3,906,705
T00317,2024-04-04,P03,C02,R04,1,301,203
T00318,2024-04-14,P05,C09,R04,1,83,50
T00319,2024-01-10,P03,C03,R02,4,872,616
T00320,2023-01-22,P04,C07,R02,2,776,572
T00321,2024-10-31,P02,C08,R04,4,764,556
T00322,2023-02-07,P01,C02,R04,5,1325,975
T00323,2023-08-18,P05,C06,R02,2,168,104
T00324,2023-12-31,P04,C08,R02,5,1250,915
T00325,2024-07-16,P01,C07,R02,3,666,465
T00326,2024-03-13,P01,C03,R03,2,468,338
T00327,2023-10-10,P05,C01,R02,4,476,292
T00328,2023-01-27,P04,C06,R04,4,1396,884
T00329,2023-08-14,P01,C08,R03,2,494,310
T00330,2023-10-04,P01,C06,R02,4,984,760
T00331,2024-08-31,P04,C05,R04,2,502,344
T00332,2023-10-11,P03,C08,R01,1,200,124
T00333,2024-04-25,P01,C02,R03,4,744,460
T00334,2024-03-28,P02,C01,R04,2,468,298
T00335,2024-10-20,P04,C01,R01,2,674,496
T00336,2024-05-30,P01,C04,R04,4,896,660
T00337,2024-06-30,P05,C06,R02,1,68,42
T00338,2023-07-11,P02,C09,R02,4,984,664
T00339,2023-02-18,P01,C01,R01,2,414,266
T00340,2024-05-26,P02,C01,R02,1,245,180
T00341,2023-01-17,P02,C05,R04,5,1020,655
T00342,2023-06-21,P03,C010,R01,3,906,549
T00343,2023-08-08,P02,C05,R04,4,948,736
T00344,2023-06-07,P03,C05,R04,2,480,352
T00345,2024-04-21,P04,C010,R04,1,375,290
T00346,2023-02-15,P03,C06,R02,1,311,244
T00347,2024-01-08,P05,C08,R02,5,385,270
T00348,2024-06-01,P01,C03,R04,4,1116,696
T00349,2023-04-09,P04,C09,R03,1,395,282
T00350,2023-02-06,P04,C01,R04,5,1335,860
T00351,2023-10-07,P05,C04,R04,2,188,114
T00352,2023-12-15,P03,C09,R01,5,1125,765
T00353,2024-05-11,P01,C08,R04,4,960,600
T00354,2023-10-29,P03,C010,R02,5,1450,955
T00355,2023-06-30,P02,C09,R01,1,154,113
T00356,2024-08-29,P03,C01,R03,1,285,197
T00357,2023-04-09,P04,C09,R01,3,882,561
T00358,2024-11-30,P01,C03,R03,5,1025,780
T00359,2023-04-26,P03,C010,R01,2,660,464
T00360,2023-07-10,P01,C09,R01,4,972,664
T00361,2023-09-10,P01,C01,R03,3,645,459
T00362,2023-06-10,P02,C01,R02,5,800,600
T00363,2023-09-13,P02,C09,R02,2,366,254
T00364,2023-11-19,P04,C06,R02,3,1071,642
T00365,2023-05-08,P05,C04,R01,1,81,63
T00366,2023-01-18,P01,C07,R04,4,932,684
T00367,2024-07-19,P05,C05,R01,5,345,210
T00368,2024-07-23,P04,C010,R04,2,516,370
T00369,2023-11-19,P01,C07,R04,1,256,174
T00370,2024-11-16,P01,C08,R02,3,762,534
T00371,2024-09-17,P05,C08,R04,4,420,280
T00372,2023-10-15,P03,C01,R01,3,936,681
T00373,2024-10-24,P02,C08,R01,3,552,354
T00374,2024-09-30,P03,C06,R02,2,592,470
T00375,2023-06-04,P05,C04,R03,1,73,57
T00376,2024-05-04,P02,C08,R01,5,1100,680
T00377,2024-01-21,P03,C03,R04,2,440,298
T00378,2023-04-14,P02,C04,R01,4,896,584
T00379,2024-01-28,P01,C06,R01,3,762,576
T00380,2023-09-03,P03,C07,R01,4,1228,764
T00381,2023-06-25,P02,C04,R03,2,454,310
T00382,2023-02-08,P02,C04,R04,2,480,354
T00383,2024-04-21,P02,C07,R02,5,830,615
T00384,2024-11-12,P03,C06,R01,3,1035,696
T00385,2024-06-21,P04,C08,R04,2,572,422
T00386,2024-02-12,P03,C01,R04,4,1112,808
T00387,2024-06-08,P05,C010,R02,5,425,315
T00388,2024-05-20,P03,C07,R01,4,960,704
T00389,2023-02-05,P02,C07,R03,3,450,306
T00390,2024-11-15,P01,C07,R04,5,1170,760
T00391,2023-01-20,P03,C07,R02,5,1585,1165
T00392,2023-11-17,P03,C010,R03,5,1675,1250
T00393,2024-05-26,P02,C010,R04,1,229,159
T00394,2024-02-04,P01,C08,R01,5,985,680
T00395,2024-10-15,P01,C09,R04,4,792,480
T00396,2024-04-15,P05,C09,R03,4,252,192
T00397,2023-05-23,P03,C02,R03,3,672,507
T00398,2023-04-02,P01,C07,R01,2,548,340
T00399,2023-12-20,P01,C07,R01,2,470,356
T00400,2024-12-27,P04,C04,R02,1,377,297
T00401,2023-02-20,P04,C09,R01,5,1540,1010
T00402,2024-10-26,P01,C08,R02,1,290,206
T00403,2024-11-28,P05,C01,R03,3,273,168
T00404,2024-07-28,P01,C02,R03,3,672,438
T00405,2023-07-09,P02,C02,R04,2,312,218
T00406,2023-05-05,P03,C08,R04,3,795,489
T00407,2023-05-30,P05,C01,R02,5,385,245
T00408,2023-11-10,P02,C04,R01,4,848,516
T00409,2024-07-23,P05,C010,R01,3,240,147
T00410,2023-12-08,P02,C05,R04,1,179,118
T00411,2023-11-01,P03,C09,R03,5,1550,1005
T00412,2024-11-22,P03,C07,R02,3,864,672
T00413,2024-11-12,P04,C08,R03,3,1131,756
T00414,2023-02-23,P02,C09,R03,5,1180,835
T00415,2024-03-19,P04,C07,R01,3,951,573
T00416,2024-09-04,P02,C05,R02,4,720,464
T00417,2023-09-21,P04,C05,R03,2,708,536
T00418,2023-02-22,P03,C010,R04,5,1420,900
T00419,2024-07-25,P05,C06,R04,1,84,51
T00420,2024-09-11,P04,C05,R01,3,1164,822
T00421,2023-01-05,P02,C09,R04,2,320,248
T00422,2023-04-13,P02,C03,R04,1,175,123
T00423,2023-07-15,P03,C03,R03,1,263,168
T00424,2023-12-16,P02,C07,R04,4,636,392
T00425,2023-02-16,P01,C07,R04,2,430,280
T00426,2024-10-17,P05,C06,R03,5,395,305
T00427,2023-09-26,P04,C03,R01,2,622,422
T00428,2024-01-05,P05,C07,R01,2,136,106
T00429,2024-09-27,P03,C05,R02,1,223,177
T00430,2023-04-16,P04,C07,R04,4,1332,836
T00431,2024-10-31,P04,C02,R03,4,1060,808
T00432,2024-10-20,P01,C06,R02,2,524,358
T00433,2024-10-18,P03,C08,R01,2,484,350
T00434,2023-04-30,P02,C01,R01,3,606,408
T00435,2024-08-26,P01,C04,R03,1,283,175
T00436,2023-02-27,P01,C01,R02,5,1390,935
T00437,2023-12-12,P05,C01,R02,5,500,375
T00438,2024-04-18,P05,C010,R03,4,300,180
T00439,2023-04-27,P05,C08,R03,1,104,71
T00440,2023-05-07,P01,C07,R02,4,740,512
T00441,2024-01-28,P02,C010,R01,5,1140,845
T00442,2024-10-02,P04,C01,R04,2,624,382
T00443,2023-02-27,P05,C02,R01,1,116,75
T00444,2024-09-25,P02,C04,R03,1,230,154
T00445,2024-05-27,P03,C01,R02,3,645,429
T00446,2023-04-06,P05,C03,R02,2,224,142
T00447,2024-09-29,P04,C08,R04,2,684,498
T00448,2023-04-28,P03,C08,R02,4,1188,872
T00449,2024-07-13,P03,C08,R04,1,342,217
T00450,2024-08-23,P04,C06,R01,4,1544,1100
T00451,2024-05-02,P05,C06,R01,2,190,138
T00452,2023-08-25,P01,C05,R02,3,723,528
T00453,2023-09-29,P04,C09,R02,1,382,264
T00454,2023-07-08,P04,C04,R03,2,624,414
T00455,2024-12-04,P04,C010,R03,3,789,570
T00456,2024-03-22,P03,C07,R02,5,1090,740
T00457,2024-08-03,P02,C01,R02,2,338,242
T00458,2023-09-04,P01,C09,R01,5,1290,1010
T00459,2023-03-17,P05,C07,R02,4,372,248
T00460,2023-06-03,P05,C010,R03,5,325,235
T00461,2024-10-17,P02,C09,R01,2,398,290
T00462,2024-03-10,P04,C07,R04,5,1295,850
T00463,2023-03-27,P01,C02,R03,1,213,163
T00464,2024-11-27,P05,C06,R03,2,204,138
T00465,2023-10-12,P05,C010,R01,3,276,195
T00466,2023-08-08,P04,C04,R04,5,1890,1285
T00467,2023-03-10,P02,C03,R03,1,213,158
T00468,2023-02-16,P01,C02,R02,4,1008,672
T00469,2023-04-04,P02,C06,R03,4,680,520
T00470,2024-03-28,P02,C08,R01,5,765,595
T00471,2023-07-23,P01,C06,R01,4,1012,672
T00472,2023-08-06,P01,C09,R01,3,885,651
T00473,2024-04-18,P05,C05,R03,2,222,142
T00474,2024-03-07,P05,C02,R04,1,88,58
T00475,2023-12-07,P01,C08,R02,5,1350,1075
T00476,2024-07-04,P03,C09,R01,4,1372,996
T00477,2024-09-03,P05,C010,R04,2,200,134
T00478,2023-10-16,P03,C04,R02,3,1041,639
T00479,2023-09-11,P01,C06,R01,4,1088,728
T00480,2023-12-23,P05,C010,R02,4,468,360
T00481,2023-01-23,P02,C08,R02,1,151,100
T00482,2024-06-05,P01,C09,R04,3,828,612
T00483,2023-04-10,P04,C05,R02,3,1080,762
T00484,2023-06-29,P03,C06,R01,5,1525,965
T00485,2023-08-11,P01,C04,R04,1,292,218
T00486,2024-10-20,P01,C05,R03,5,1340,865
T00487,2024-03-17,P05,C07,R03,1,83,56
T00488,2024-08-30,P05,C09,R04,3,261,195
T00489,2023-11-21,P05,C010,R03,1,95,64
T00490,2024-05-30,P04,C06,R02,1,285,221
T00491,2023-01-16,P05,C06,R01,1,77,61
T00492,2023-12-02,P01,C08,R02,2,542,394
T00493,2023-09-15,P05,C04,R04,2,232,154
T00494,2024-05-11,P02,C03,R01,3,636,387
T00495,2023-06-09,P05,C07,R04,1,76,48
T00496,2024-04-19,P04,C05,R04,3,1008,744
T00497,2024-10-25,P02,C02,R04,2,422,280
T00498,2024-11-20,P01,C02,R02,1,188,114
T00499,2024-11-05,P01,C06,R01,5,1340,915
T00500,2024-01-15,P03,C08,R01,2,584,358
T00501,2024-06-28,P02,C01,R01,2,378,252
T00502,2024-11-21,P03,C06,R02,2,682,544
T00503,2024-03-02,P02,C02,R03,1,196,133
T00504,2024-09-04,P02,C02,R02,4,884,700
T00505,2023-09-25,P04,C07,R02,5,1980,1430
T00506,2024-07-30,P03,C010,R04,5,1205,840
T00507,2024-02-21,P04,C01,R01,3,1170,732
T00508,2023-06-17,P02,C06,R01,1,173,116
T00509,2023-02-12,P01,C07,R03,2,498,350
T00510,2024-07-09,P02,C08,R03,4,688,464
T00511,2023-10-12,P04,C07,R04,1,359,253
T00512,2024-02-01,P03,C06,R01,1,235,147
T00513,2023-01-12,P03,C09,R03,4,1312,1008
T00514,2024-08-29,P04,C03,R03,2,526,342
T00515,2023-10-29,P03,C06,R01,1,269,172
T00516,2023-09-10,P05,C04,R02,5,550,370
T00517,2024-05-13,P01,C02,R03,5,1040,720
T00518,2023-02-04,P01,C01,R01,4,1132,832
T00519,2024-12-27,P01,C01,R03,2,516,394
T00520,2023-03-31,P03,C010,R04,4,1372,1000
T00521,2024-08-27,P03,C03,R03,1,337,230
T00522,2024-08-24,P02,C04,R01,5,1080,695
T00523,2024-02-22,P02,C02,R03,3,672,522
T00524,2023-04-25,P01,C01,R04,4,828,648
T00525,2024-09-08,P05,C04,R04,3,225,159
T00526,2023-07-15,P02,C07,R03,3,465,339
T00527,2024-05-15,P02,C010,R03,5,1200,890
T00528,2024-09-17,P03,C06,R04,4,1396,964
T00529,2024-05-07,P05,C06,R04,3,288,207
